"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-header.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 12, 123
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-notes-panel.tsx", "TypeScript JSX", 0, 176, 0, 0, 0, 17, 193
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-shell.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 10, 75
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-side-nav.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 3, 50
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-team-page-shell.tsx", "TypeScript JSX", 0, 305, 0, 0, 0, 41, 346
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-vendor-form.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 12, 68
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-vendor-table.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 6, 124
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-vendors-page-shell.tsx", "TypeScript JSX", 0, 521, 0, 0, 0, 46, 567
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\sticky-budget-summary.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 10, 106
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\vendor-budget-add-back.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 8, 67
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\vendor-search-select.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 11, 93
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\shows\all-shows-filter-bar.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 8, 91
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\shows\all-shows-page-shell.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 10, 87
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\shows\all-shows-sort-select.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 1, 24
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\shows\all-shows-table.tsx", "TypeScript JSX", 0, 174, 0, 0, 0, 18, 192
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\shows\new-show-form.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 17, 142
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\shows\venue-select-fields.tsx", "TypeScript JSX", 0, 215, 0, 0, 0, 27, 242
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\trial-banner.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 1, 18
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\freelancer-profile-form.tsx", "TypeScript JSX", 0, 247, 0, 0, 0, 30, 277
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\shared\coverage-and-travel-section.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 5, 62
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\shared\primary-service-area-section.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 9, 115
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\vendor-form-modal.tsx", "TypeScript JSX", 0, 362, 0, 0, 0, 40, 402
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\vendor-partner-profile-form.tsx", "TypeScript JSX", 0, 381, 0, 0, 0, 43, 424
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\vendors\vendor-partners-page-shell.tsx", "TypeScript JSX", 0, 288, 0, 0, 0, 34, 322
